Recording timestamp	Event	Event value	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Recording media name	Recording media width	Recording media height	Eye movement type	Eye movement type index	Fixation point X	Fixation point Y	
0	RecordingStart											Fixation	1	1141	505	
0			-0.05550	0.18716	0.98076	-0.19857	0.11047	0.97384				Fixation	1	1141	505	
10			-0.04350	0.17532	0.98355	-0.24412	0.18059	0.95278				Fixation	1	1141	505	
20			-0.05306	0.20017	0.97832	-0.22859	0.14772	0.96225				Fixation	1	1141	505	
30			-0.04908	0.17577	0.98321	-0.21445	0.13692	0.96709				Fixation	1	1141	505	
40			-0.05469	0.17199	0.98358	-0.21821	0.11544	0.96905				Fixation	1	1141	505	
50			-0.05711	0.16775	0.98417	-0.21670	0.10204	0.97089				Fixation	1	1141	505	
60			-0.05950	0.16610	0.98431	-0.21785	0.09824	0.97103				Fixation	1	1141	505	
70			-0.06133	0.16558	0.98429	-0.21652	0.09401	0.97174				Fixation	1	1141	505	
80			-0.06006	0.16393	0.98464	-0.21675	0.09354	0.97174				Fixation	1	1141	505	
90			-0.06120	0.16487	0.98441	-0.21342	0.09130	0.97269				Fixation	1	1141	505	
100			-0.06016	0.16358	0.98469	-0.21498	0.09286	0.97219				Fixation	1	1141	505	
110			-0.06246	0.16475	0.98436	-0.21328	0.09226	0.97262				Fixation	1	1141	505	
120			-0.06602	0.16460	0.98415	-0.21410	0.09264	0.97241				Fixation	1	1141	505	
130			-0.06615	0.16466	0.98413	-0.21173	0.09108	0.97307				Fixation	1	1141	505	
140			-0.06253	0.16286	0.98467	-0.21356	0.09143	0.97264				Fixation	1	1141	505	
150			-0.06318	0.16431	0.98438	-0.21243	0.09059	0.97297				Fixation	1	1141	505	
160			-0.06273	0.16574	0.98417	-0.21343	0.09112	0.97270				Fixation	1	1141	505	
170			-0.06214	0.16673	0.98404	-0.21139	0.09083	0.97317				Fixation	1	1141	505	
280			-0.06145	0.16523	0.98434	-0.21348	0.09253	0.97256				Fixation	1	1141	505	
290			-0.06213	0.16601	0.98417	-0.21181	0.09131	0.97304				Fixation	1	1141	505	
300			-0.05960	0.16432	0.98461	-0.21348	0.09222	0.97259				Fixation	1	1141	505	
310			-0.06080	0.16586	0.98427	-0.21009	0.08998	0.97353				Fixation	1	1141	505	
320			-0.05853	0.16543	0.98448	-0.21227	0.09167	0.97290				Fixation	1	1141	505	
330			-0.05906	0.16723	0.98415	-0.20962	0.09040	0.97359	fullstream.mp4	1920	1080	Fixation	1	1141	505	
340			-0.05618	0.16532	0.98464	-0.21190	0.09242	0.97291	fullstream.mp4	1920	1080	Fixation	1	1141	505	
350			-0.05734	0.16711	0.98427	-0.20862	0.09036	0.97381	fullstream.mp4	1920	1080	Fixation	1	1141	505	
360			-0.05326	0.16633	0.98463	-0.20958	0.09324	0.97334	fullstream.mp4	1920	1080	Fixation	1	1141	505	
370			-0.04453	0.16986	0.98446	-0.20137	0.09497	0.97490	fullstream.mp4	1920	1080	Fixation	1	1141	505	
380			-0.04271	0.18890	0.98107	-0.20550	0.10619	0.97288	fullstream.mp4	1920	1080	Saccade	1			
390			-0.03474	0.17247	0.98440	-0.23799	0.17039	0.95621	fullstream.mp4	1920	1080	Fixation	2	1145	462	
396	SyncPortOutHigh								fullstream.mp4	1920	1080	Fixation	2	1145	462	
